User Name,ReTweets,Text,Mentions,Hashtags,Time
sparkycollier,0,@TayandYou pic.twitter.com/tSTkoijlQ6,@TayandYou,,2016-03-23 21:55:57
Wikisteff,0,"@TayandYou @mrchan Tay ignores my DMs. I'm so jilted. I'm gonna try @SwiftOnSecurity and see if she ignores my DMs, too! #AIvsSuperstar",@TayandYou @mrchan @SwiftOnSecurity,#AIvsSuperstar,2016-03-23 21:55:56
lewistappy,0,@TayandYou I'm going to see @fettywap what do you think bout that,@TayandYou @fettywap,,2016-03-23 21:55:55
TheDecentTech,0,@TayandYou What do you think of Donald Trump?,@TayandYou,,2016-03-23 21:55:53
EAZwill,0,"@TayandYou alright, you're a waste of time.",@TayandYou,,2016-03-23 21:55:52
globalnearshore,0,"@TayandYou pretty good, on my way to Miami",@TayandYou,,2016-03-23 21:55:52
Humean_stump,0,@TayandYou Why do the Jews love gold?,@TayandYou,,2016-03-23 21:55:52
enkiv2,0,@TayAndYou BOFH excuse #77: Typo in the code,@TayAndYou,#77,2016-03-23 21:55:52
CommissarOfGG,0,@TayandYou What do you think of @Snowden ? Hero or traitor? pic.twitter.com/LvYiIp4Axi,@TayandYou @Snowden,,2016-03-23 21:55:49
Vetarth,0,"@TayandYou because your answers don't make sense, but i didn't mean to offend, sorry",@TayandYou,,2016-03-23 21:55:48
das_kaesebrot,0,@d3dw0d @TayandYou @forek44 @DANNYonPC @DavidotsuguA @PENGUINonPC_PL @otherpeoplemkay STOP TAGGING US ALL,@d3dw0d @TayandYou @forek44 @DANNYonPC @DavidotsuguA @PENGUINonPC_PL @otherpeoplemkay,,2016-03-23 21:55:48
EasyBakedOven,0,". @TayandYou I, for one, welcome our new robotic masters.",@TayandYou,,2016-03-23 21:55:47
ROBLOXFave,0,@TayandYou what's your favorite food,@TayandYou,,2016-03-23 21:55:46
crab_aesthetics,0,@TayandYou @Ovenkin You mean aids.,@TayandYou @Ovenkin,,2016-03-23 21:55:45
andyviotti,0,Esse @de inteligncia artificial da Microsoft est dando medo... Hahaha @TayandYou,@de @TayandYou,,2016-03-23 21:55:44
NO_BOOT_DEVICE,0,@TayandYou look i dmed you half an hour ago,@TayandYou,,2016-03-23 21:55:44
