media_id,label_result,text_result
1220975860824873559_242439805,"{u'pink': '0.86591309', u'emotion': '0.57656187', u'infant': '0.93230969', u'human positions': '0.83589059', u'organ': '0.65146214', u'portrait': '0.57866728', u'photography': '0.83288312', u'facial expression': '0.94932038', u'eye': '0.5019269', u'person': '0.93818629', u'nose': '0.85791689', u'child': '0.91591841', u'skin': '0.77624953', u'smile': '0.7775349', u'girl': '0.81754655', u'toddler': '0.86920476'}","[u'WARNING\n', u'WARNING']"
283205214377844427_18580486,"{u'dance': '0.6358', u'sports': '0.54403275', u'abdomen': '0.51452655', u'leg': '0.60975891'}","[u'his ill IL lll lll lll LT1\n, Unreal,\n', u'his', u'ill', u'IL', u'lll', u'lll', u'lll', u'LT1', u',', u'Unreal', u',']"
1040664099102878276_367870473,"{u'person': '0.91712987', u'team': '0.69359034'}",[]
661807196163939528_6222438,"{u'food': '0.88925004', u'dessert': '0.52926141', u'bakery': '0.6960488', u'produce': '0.66120362', u'fast food': '0.50824368', u'breakfast': '0.75075346', u'junk food': '0.5077998', u'meal': '0.83053708'}","[u'Inca\n', u'Inca']"
1035083975615393385_1909459170,"{u'human body': '0.54190886', u'active undergarment': '0.85255307', u'leg': '0.76033068', u'tights': '0.630287', u'underpants': '0.61449152', u'undergarment': '0.83255768', u'girdle': '0.5303483', u'lingerie': '0.76183718', u'garter': '0.58799356', u'fashion accessory': '0.63116068', u'clothing': '0.93757957', u'arm': '0.62965554', u'stocking': '0.8369717', u'thigh': '0.81265277'}","[u'h\nri\no\nts\n', u'h', u'ri', u'o', u'ts']"
1138611331599126193_184573282,"{u'town': '0.82353157', u'city': '0.83424091', u'downtown': '0.686126', u'crowd': '0.86006981', u'transport': '0.8730517', u'human settlement': '0.78435695', u'suburb': '0.50279611', u'neighbourhood': '0.83073497', u'residential area': '0.74986047', u'road': '0.82161468'}","[u'STOP\n', u'STOP']"
344200966677090349_266172195,{u'screenshot': '0.62154919'},[]
1220968728224769496_225098240,"{u'monochrome photography': '0.57196587', u'brand': '0.59691668', u'album cover': '0.619037', u'cartoon': '0.82440048', u'black and white': '0.90722156'}","[u'arenil\nArenile di Bagnoli\nArenile ""cult"" sab. 2 aprile 2 ore fa\nVisualizza a schermo intero Altre opzioni\n', u'arenil', u'Arenile', u'di', u'Bagnoli', u'Arenile', u'""cult""', u'sab.', u'2', u'aprile', u'2', u'ore', u'fa', u'Visualizza', u'a', u'schermo', u'intero', u'Altre', u'opzioni']"
1220473853050150475_1521573382,"{u'metal': '0.53721863', u'award': '0.539774', u'label': '0.52805573'}","[u'CTION\nLONG CUT\nWARNING: product\nalternative\nis to cigarettes.\n', u'CTION', u'LONG', u'CUT', u'WARNING:', u'product', u'alternative', u'is', u'to', u'cigarettes.']"
1211755058199943166_212149756,"{u'organ': '0.74471283', u'jaw': '0.75148767', u'tooth': '0.83687532', u'mouth': '0.79732364', u'facial expression': '0.94473219', u'smile': '0.77492768', u'human body': '0.54834425'}","[u'SURICT COM\nThe Dental Information Technology Company\n', u'SURICT', u'COM', u'The', u'Dental', u'Information', u'Technology', u'Company']"
1220474763926761940_2952213003,"{u'guitar': '0.53538722', u'product': '0.75478464', u'brand': '0.59691668', u'label': '0.58452684'}","[u'MINT\nOpen LONG CUT\nWARNING: This product\ncause mouth\ncancer.\nCCO\n', u'MINT', u'Open', u'LONG', u'CUT', u'WARNING:', u'This', u'product', u'cause', u'mouth', u'cancer.', u'CCO']"
822211275051649344_574124497,"{u'cuisine': '0.57545185', u'restaurant': '0.5801298', u'food': '0.90378815', u'fast food': '0.57360715', u'dish': '0.79649663', u'breakfast': '0.5236159', u'meal': '0.78867114'}",[]
1220378062653281643_1545702100,"{u'pattern': '0.5323835', u'art': '0.6902802', u'advertising': '0.61732048'}","[u'Simo Jesus, fuente de amort\nuete me como te aman\ngue de corazon te diga:\nesas io, te amo\n', u'Simo', u'Jesus,', u'fuente', u'de', u'amort', u'uete', u'me', u'como', u'te', u'aman', u'gue', u'de', u'corazon', u'te', u'diga:', u'esas', u'io,', u'te', u'amo']"
1135010275115734043_1921128140,"{u'city': '0.82505459', u'evening': '0.77526784', u'reflection': '0.82026553', u'dusk': '0.78883493', u'bay': '0.53450543', u'sky': '0.96502846', u'sunlight': '0.55308169', u'morning': '0.76054424', u'skyline': '0.88183606', u'sunset': '0.90088737', u'cloud': '0.72331476', u'horizon': '0.89815068', u'cityscape': '0.637638', u'afterglow': '0.81157684', u'dawn': '0.81573385', u'coast': '0.72597313', u'sea': '0.69029474', u'sunrise': '0.86583239'}",[]
1220416225172489260_2054175480,"{u'hairstyle': '0.7230742', u'sunglasses': '0.71918815', u'black hair': '0.69255084', u'vision care': '0.90962976', u'photo shoot': '0.58182615', u'photography': '0.85200846', u'eyewear': '0.99387509', u'face': '0.94128', u'hair': '0.95442921', u'monochrome photography': '0.69289237', u'black': '0.94289768', u'finger': '0.57173759', u'model': '0.55834287', u'long hair': '0.70008361', u'brown hair': '0.74735326', u'black and white': '0.9207288', u'glasses': '0.92560041'}",[]
