media_id,label_result,text_result
1168705_564520896957412_1720064881_n,"{u'wheelchair': '0.66543734', u'child': '0.63358897', u'human positions': '0.82808769', u'sitting': '0.7249223'}","[u'LOOam\n', u'LOOam']"
1390113_726182400742649_1502525608_n,"{u'infrastructure': '0.59954143', u'flight': '0.71337616', u'shape': '0.58099538', u'vehicle': '0.70261055', u'aviation': '0.62017953', u'atmosphere of earth': '0.76621211'}",[]
1172285_396290927169517_537205342_n,{},"[u'TH\nThe\n', u'TH', u'The']"
1515274_196658537189781_1181589258_n,"{u'brand': '0.59691668', u'album cover': '0.65356743', u'presentation': '0.52245289', u'people': '0.88663751'}","[u'th\n\u9791\n', u'th', u'\u9791']"
10358386_326181054196942_1202631568_n,"{u'blue': '0.92094541', u'art': '0.67232513', u'cap': '0.51658946', u'illustration': '0.55238116', u'clothing': '0.92127913', u'drawing': '0.5023061'}","[u'NIKE\na\n/AV\nroon\n', u'NIKE', u'a', u'/', u'AV', u'roon']"
1597485_1383119675286097_961721833_n,"{u'monochrome photography': '0.69916016', u'image': '0.90169835', u'facial hair': '0.57156974', u'person': '0.903466', u'monochrome': '0.69502556', u'black and white': '0.92165619'}","[u'UNEARTHLY D.\n16 Meieh, B 20pm\nor 1300\nI nt\n/litAT SHEA\n', u'UNEARTHLY', u'D.', u'16', u'Meieh', u',', u'B', u'20pm', u'or', u'1300', u'I', u'nt', u'/', u'litAT', u'SHEA']"
1390290_543174472438018_563294705_n,"{u'monochrome photography': '0.58202964', u'soldier': '0.59627241', u'street': '0.65444946', u'black and white': '0.90847629'}","[u'C\n', u'C']"
1389037_599939430084273_802079583_n,"{u'ecosystem': '0.83766574', u'biology': '0.66866875', u'biome': '0.50165725', u'map': '0.81624931'}","[u'Finland\nNorge\nH ki\nStoc\nCaHKT-neTepe\nTallinn\nesti\nBaltic Sea\nGoteborg\natvija\nNorth Sea\nGO Lietuva\nDanmark\nited\nKingdom\nVilnius o\nMiHcK\nHamburg F\nand\nBed\nV an\nred\nPolska\nDeutschland\nKMIB\nelgique\nPraha\nCeska rep\nKrakow.\nyKpai\nBratislava\nSlovensko\nMoldova\nAHI\nterreich\nMagyar\nzag\nFrance\nMilano\nZagreb\nRomania oAeca\nBay of\nBiscay\nHrvatska\nTino\nCp\nBucuresti\narseille\nIt R\nRO na\nBarcelona\napMA\nunA1 Madrid\nistanbul An\nian\n9,763 mi, 178 hours\nizmir\nNAenva\n', u'Finland', u'Norge', u'H', u'ki', u'Stoc', u'CaHKT-neTepe', u'Tallinn', u'esti', u'Baltic', u'Sea', u'Goteborg', u'atvija', u'North', u'Sea', u'GO', u'Lietuva', u'Danmark', u'ited', u'Kingdom', u'Vilnius', u'o', u'MiHcK', u'Hamburg', u'F', u'and', u'Bed', u'V', u'an', u'red', u'Polska', u'Deutschland', u'KMIB', u'elgique', u'Praha', u'Ceska', u'rep', u'Krakow.', u'yKpai', u'Bratislava', u'Slovensko', u'Moldova', u'AHI', u'terreich', u'Magyar', u'zag', u'France', u'Milano', u'Zagreb', u'Romania', u'oAeca', u'Bay', u'of', u'Biscay', u'Hrvatska', u'Tino', u'Cp', u'Bucuresti', u'arseille', u'It', u'R', u'RO', u'na', u'Barcelona', u'apMA', u'unA1', u'Madrid', u'istanbul', u'An', u'ian', u'9,763', u'mi,', u'178', u'hours', u'izmir', u'NAenva']"
1388912_597814520257208_1708742253_n,"{u'product': '0.81785321', u'outerwear': '0.60602647', u'sleeve': '0.86687195', u'brand': '0.59691668', u't shirt': '0.95795035', u'sleeveless shirt': '0.61885744', u'baby & toddler clothing': '0.57131749', u'white': '0.93619025', u'font': '0.75378549', u'clothing': '0.932234'}","[u'TRUCKS\nCOWBOYS\nMUSIC\n', u'TRUCKS', u'COWBOYS', u'MUSIC']"
1171653_600326050032056_1584367582_n,"{u'product': '0.73347318', u'document': '0.58922809', u'text': '0.92884552', u'brand': '0.59691668', u'diagram': '0.61939424', u'shape': '0.596797', u'line': '0.75262231', u'font': '0.75980693', u'presentation': '0.53335047'}","[u'thinferior:\nalexgagkarth:\nimagine having a boyfriend that\ntakes you to concerts\nimagine having a boyfriend that takes\nyou to his concerts\n', u'thinferior:', u'alexgagkarth:', u'imagine', u'having', u'a', u'boyfriend', u'that', u'takes', u'you', u'to', u'concerts', u'imagine', u'having', u'a', u'boyfriend', u'that', u'takes', u'you', u'to', u'his', u'concerts']"
1662663_197517530447132_804013328_n,"{u'tattoo': '0.88010514', u'chest': '0.5218277', u'human body': '0.54665011', u'arm': '0.7889303', u'tattoo artist': '0.59735316'}","[u'G\n', u'G']"
10387957_270465406472370_1939076900_n,"{u'automotive exterior': '0.7243014', u'car': '0.96829689', u'automobile make': '0.68726665', u'luxury vehicle': '0.68660247', u'sports car': '0.61895192', u'race track': '0.671637', u'supercar': '0.58412522', u'automotive design': '0.77788007', u'race': '0.53863293', u'race car': '0.69422489', u'vehicle': '0.85357034', u'racing': '0.54887474', u'auto show': '0.66784835'}","[u'Dyo TIRES\nBJENNER\n', u'Dyo', u'TIRES', u'BJENNER']"
1515370_252762431555303_681816089_n,"{u'surface water sports': '0.73178941', u'surfing': '0.93921274', u'boardsport': '0.78590184', u'surfboard': '0.60464168', u'surfing equipment and supplies': '0.59784335', u'extreme sport': '0.60437149', u'water sport': '0.90820181', u'wave': '0.854438', u'wind wave': '0.84063989', u'boating': '0.56536919', u'individual sports': '0.50571489', u'sea': '0.6639443', u'ocean': '0.720851', u'sports': '0.92214447', u'bodyboarding': '0.55928'}",[]
